# callgrind format
version: 1
creator: pprofile
event: usphit :microseconds/hit
events: hits microseconds usphit
cmd: ./code.ipynb
fl=./code.ipynb
fn=<module>:4
3 1 8 8
4 2 42 21
5 1 6 6
6 1 8 8
7 1 8 8
8 1 7 7
9 1 8 8
10 1 8 8
11 1 8 8
12 1 7 7
13 1 8 8
14 1 7 7
15 1 7 7
16 1 8 8
17 1 7 7
18 1 7 7
19 1 7 7
20 1 8 8
21 1 7 7
22 1 7 7
23 1 7 7
24 1 8 8
25 1 7 7
26 1 7 7
27 1 8 8
28 1 7 7
29 1 7 7
30 1 8 8
31 1 7 7
32 1 7 7
33 1 7 7
34 1 8 8
35 1 7 7
36 1 7 7
37 1 8 8
40 1 7 7
41 1 8 8
42 1 7 7
43 1 8 8
44 1 7 7
45 1 9 9
46 1 7 7
47 1 7 7
48 1 7 7
49 1 7 7
50 1 7 7
54 1 8 8
55 1 8 8
56 1 7 7
57 1 7 7
58 1 8 8
59 1 8 8
60 1 7 7
61 1 7 7
62 1 8 8
63 1 8 8
64 1 7 7
65 1 8 8
66 1 7 7
67 1 7 7
68 1 7 7
69 1 8 8
70 1 7 7
71 1 7 7
72 1 7 7
73 1 7 7
74 1 8 8
75 1 7 7
76 1 7 7
77 1 8 8
78 1 7 7
79 1 7 7
80 1 8 8
81 1 7 7
82 1 7 7
83 1 8 8
84 1 8 8
85 1 7 7
86 1 7 7
87 1 7 7
88 1 7 7
89 1 7 7
90 1 7 7
91 1 7 7
92 1 8 8
93 1 7 7
94 1 7 7
95 1 7 7
96 1 8 8
97 1 7 7
98 1 8 8
99 1 7 7
100 1 7 7
101 1 7 7
102 1 8 8
103 1 8 8
104 1 7 7
105 1 8 8
106 1 7 7
107 1 7 7
108 1 7 7
111 1 8 8
112 1 7 7
113 1 8 8
114 1 7 7
115 1 8 8
116 1 8 8
117 1 7 7
118 1 7 7
119 1 7 7
120 1 7 7
124 1 8 8
125 1 7 7
126 1 7 7
127 1 8 8
128 1 7 7
129 1 7 7
130 1 7 7
131 1 8 8
132 1 7 7
133 1 7 7
134 1 7 7
135 1 8 8
136 1 8 8
137 1 7 7
138 1 7 7
139 1 7 7
140 1 7 7
141 1 8 8
142 1 7 7
143 1 7 7
144 1 7 7
145 1 97 97
146 1 9 9
147 1 8 8
148 1 8 8
149 1 8 8
150 1 8 8
151 1 7 7
152 1 8 8
153 1 8 8
154 1 7 7
155 1 8 8
156 1 8 8
157 1 7 7
158 1 8 8
159 1 8 8
160 1 8 8
161 1 8 8
162 1 8 8
163 1 8 8
164 1 7 7
165 1 8 8
166 1 8 8
167 1 7 7
168 1 8 8
169 1 7 7
170 1 8 8
171 1 8 8
172 1 7 7
173 1 7 7
174 1 8 8
175 1 8 8
176 1 7 7
177 1 8 8
178 1 8 8
179 1 7 7
180 1 8 8
181 1 7 7
182 1 7 7
183 1 8 8
184 1 7 7
185 1 8 8
186 1 9 9
187 1 8 8
188 1 8 8
189 1 7 7
190 1 8 8
191 1 8 8
192 1 8 8
193 1 8 8
194 1 8 8
195 1 8 8
196 1 7 7
197 1 8 8
198 1 8 8
199 1 8 8
200 1 8 8
201 1 7 7
202 1 8 8
203 1 8 8
204 1 8 8
205 1 7 7
206 1 8 8
